RedFighter,BlueFighter,Date,RedHeight,RedWeight,RedReach,RedStance,RedDOB,RedSLpM,RedStr. Acc.,RedSApM,RedStr. Def.,RedTD Avg.,RedTD Acc.,RedTD Def.,RedSub. Avg.,RedWins,RedLosses,RedDraws,RedNoContests,BlueHeight,BlueWeight,BlueReach,BlueStance,BlueDOB,BlueSLpM,BlueStr. Acc.,BlueSApM,BlueStr. Def.,BlueTD Avg.,BlueTD Acc.,BlueTD Def.,BlueSub. Avg.,BlueWins,BlueLosses,BlueDraws,BlueNoContests,Result
Cody Durden,Joshua Van,1733529600.0,67.0,125.0,67.0,Southpaw,670204800.0,3.52,45.0,4.29,49.0,4.06,47.0,73.0,0.8,17,7,1,0,65.0,125.0,65.0,Orthodox,1002672000.0,8.88,54.0,5.82,60.0,1.32,63.0,80.0,0.0,12,2,0,0,L
Michael Chiesa,Max Griffin,1733529600.0,73.0,170.0,75.0,Southpaw,565833600.0,1.81,39.0,1.66,54.0,3.3,48.0,61.0,1.1,20,7,0,0,71.0,170.0,76.0,Orthodox,502070400.0,3.75,48.0,3.66,58.0,1.37,40.0,69.0,0.3,20,11,0,0,W
Clay Guida,Chase Hooper,1733529600.0,67.0,155.0,70.0,Orthodox,376617600.0,2.63,33.0,3.0,61.0,3.1,35.0,66.0,0.6,38,22,0,0,73.0,155.0,74.0,Southpaw,937180800.0,4.97,52.0,3.26,37.0,1.83,27.0,57.0,2.4,15,3,1,0,L
Kennedy Nzechukwu,Lukasz Brzeski,1733529600.0,77.0,205.0,83.0,Southpaw,708393600.0,5.37,46.0,4.89,51.0,0.56,45.0,81.0,0.2,14,5,0,0,76.0,236.0,78.0,Orthodox,706060800.0,5.02,50.0,3.68,54.0,0.43,33.0,36.0,0.4,9,6,1,1,W
Petr Yan,Deiveson Figueiredo,1732320000.0,67.0,135.0,67.0,Switch,729388800.0,5.11,54.0,4.13,58.0,1.61,49.0,84.0,0.1,18,5,0,0,65.0,135.0,68.0,Orthodox,566784000.0,2.91,54.0,3.55,49.0,1.62,34.0,60.0,1.4,24,4,1,0,W
Yan Xiaonan,Tabatha Ricci,1732320000.0,65.0,115.0,63.0,Orthodox,613958400.0,4.99,45.0,3.44,60.0,0.92,73.0,63.0,0.0,19,4,0,1,61.0,115.0,61.0,Orthodox,793324800.0,4.18,36.0,5.29,57.0,2.74,37.0,81.0,0.1,11,3,0,0,W
Song Kenan,Muslim Salikhov,1732320000.0,72.0,170.0,71.0,Orthodox,637027200.0,4.49,46.0,5.82,51.0,0.42,30.0,73.0,0.0,22,9,0,0,71.0,170.0,70.0,Orthodox,455587200.0,3.38,49.0,2.9,62.0,1.08,32.0,72.0,0.0,21,5,0,0,L
Wang Cong,Gabriella Fernandes,1732320000.0,66.0,125.0,66.0,Southpaw,705888000.0,5.81,46.0,1.63,70.0,1.16,50.0,100.0,2.3,6,1,0,0,66.0,125.0,66.0,Southpaw,745200000.0,3.46,46.0,5.5,49.0,0.56,18.0,60.0,0.3,10,3,0,0,L
Volkan Oezdemir,Carlos Ulberg,1732320000.0,74.0,205.0,75.0,Orthodox,622166400.0,4.95,48.0,4.22,55.0,0.5,29.0,80.0,0.1,20,8,0,0,76.0,205.0,77.0,Orthodox,657936000.0,7.2,56.0,4.27,50.0,0.72,75.0,83.0,0.2,12,1,0,0,L
Zhang Mingyang,Ozzy Diaz,1732320000.0,74.0,205.0,75.0,Orthodox,903225600.0,8.57,55.0,5.59,53.0,0.0,0.0,0.0,0.0,18,6,0,0,76.0,185.0,79.0,Orthodox,659232000.0,2.21,43.0,4.74,46.0,0.0,0.0,0.0,0.0,9,3,0,0,W
Baergeng Jieleyisi,SuYoung You,1732320000.0,69.0,135.0,70.0,Orthodox,817171200.0,1.75,38.0,2.3,48.0,1.65,75.0,73.0,0.3,18,6,0,0,66.0,135.0,65.0,Orthodox,818640000.0,2.11,42.0,1.4,72.0,4.67,58.0,66.0,0.3,14,3,0,2,L
Kiru Sahota,DongHun Choi,1732320000.0,70.0,125.0,73.0,Orthodox,801619200.0,4.05,52.0,2.64,41.0,0.92,33.0,50.0,0.5,12,3,0,0,65.0,125.0,66.0,Switch,915235200.0,4.54,66.0,3.13,58.0,0.46,14.0,81.0,0.0,9,0,0,0,L
Shi Ming,Feng Xiaocan,1732320000.0,62.0,115.0,60.0,Orthodox,784771200.0,3.48,39.0,3.24,53.0,0.37,16.0,58.0,0.0,17,5,0,0,67.0,115.0,66.0,Southpaw,1009411200.0,5.43,50.0,1.76,73.0,1.08,100.0,66.0,0.0,10,3,0,0,W
Nyamjargal Tumendemberel,Carlos Hernandez,1732320000.0,67.0,125.0,71.0,Orthodox,890524800.0,3.13,38.0,3.29,51.0,2.42,31.0,52.0,2.4,8,1,0,0,68.0,125.0,67.0,Orthodox,751507200.0,3.9,45.0,3.43,50.0,1.6,21.0,67.0,0.2,10,4,0,0,L
Lone'er Kavanagh,Jose Ochoa,1732320000.0,64.0,125.0,67.0,Orthodox,928886400.0,3.62,43.0,3.45,67.0,0.0,0.0,100.0,0.0,8,0,0,0,67.0,125.0,67.0,Southpaw,978220800.0,3.33,31.0,3.4,59.0,0.0,0.0,100.0,1.0,7,1,0,1,W
Xiao Long,Quang Le,1732320000.0,68.0,135.0,70.0,Orthodox,892425600.0,5.4,50.0,4.27,50.0,0.84,25.0,77.0,0.0,27,9,0,0,66.0,135.0,70.0,Orthodox,687744000.0,3.02,35.0,5.52,45.0,1.7,23.0,100.0,0.0,8,2,0,0,W
Maheshate,Nikolas Motta,1732320000.0,72.0,155.0,71.0,Orthodox,944006400.0,3.86,29.0,5.64,53.0,0.0,0.0,45.0,0.0,10,4,0,0,69.0,155.0,70.0,Orthodox,729129600.0,3.64,37.0,4.5,56.0,0.0,0.0,82.0,0.0,15,5,0,1,L
Jon Jones,Stipe Miocic,1731715200.0,76.0,248.0,84.0,Orthodox,553651200.0,4.38,58.0,2.24,64.0,1.89,45.0,95.0,0.5,28,1,0,1,76.0,240.0,80.0,Orthodox,398563200.0,4.67,52.0,4.01,52.0,1.74,34.0,65.0,0.0,20,5,0,0,W
Charles Oliveira,Michael Chandler,1731715200.0,70.0,155.0,74.0,Orthodox,624585600.0,3.4,55.0,3.21,49.0,2.25,40.0,56.0,2.7,35,10,0,1,68.0,155.0,71.0,Orthodox,514684800.0,4.49,50.0,4.3,43.0,1.59,37.0,63.0,0.6,23,9,0,0,W
Bo Nickal,Paul Craig,1731715200.0,73.0,185.0,76.0,Southpaw,821577600.0,2.65,63.0,1.86,64.0,3.61,50.0,0.0,3.6,7,0,0,0,75.0,185.0,76.0,Orthodox,564969600.0,2.52,44.0,3.03,43.0,1.52,20.0,37.0,1.4,17,9,1,0,W
Viviane Araujo,Karine Silva,1731715200.0,64.0,125.0,68.0,Orthodox,532915200.0,4.04,47.0,4.87,56.0,1.86,43.0,80.0,0.7,13,6,0,0,65.0,125.0,67.0,Orthodox,754790400.0,3.04,38.0,3.14,47.0,2.79,50.0,0.0,1.9,18,5,0,0,W
Mauricio Ruffy,James Llontop,1731715200.0,71.0,155.0,75.0,Orthodox,834969600.0,4.7,59.0,4.76,60.0,0.0,0.0,100.0,0.0,11,1,0,0,72.0,155.0,73.0,Orthodox,933552000.0,5.57,41.0,4.12,57.0,0.0,0.0,54.0,0.0,14,5,0,0,W
Jonathan Martinez,Marcus McGhee,1731715200.0,68.0,135.0,70.0,Southpaw,766800000.0,4.44,49.0,4.09,56.0,0.38,35.0,68.0,0.1,19,6,0,0,68.0,135.0,69.0,Orthodox,642038400.0,6.06,48.0,2.83,64.0,0.46,33.0,100.0,0.5,10,1,0,0,L
Jim Miller,Damon Jackson,1731715200.0,68.0,155.0,71.0,Southpaw,431049600.0,2.99,42.0,3.51,56.0,1.52,44.0,49.0,1.7,38,18,0,1,71.0,155.0,71.0,Switch,587001600.0,2.96,42.0,3.47,49.0,2.3,32.0,37.0,1.2,23,8,1,1,W
David Onama,Roberto Romero,1731715200.0,71.0,145.0,74.0,Orthodox,770947200.0,5.6,50.0,5.07,52.0,0.73,20.0,52.0,0.6,13,2,0,0,68.0,155.0,70.0,Orthodox,949190400.0,4.93,47.0,8.07,43.0,0.0,0.0,66.0,0.0,8,4,1,0,W
Marcin Tybura,Jhonata Diniz,1731715200.0,75.0,249.0,78.0,Orthodox,500342400.0,3.57,49.0,3.26,55.0,1.42,33.0,77.0,0.1,26,9,0,0,76.0,254.0,79.0,Orthodox,677635200.0,3.36,53.0,2.96,49.0,0.0,0.0,69.0,0.0,8,1,0,0,W
Mickey Gall,Ramiz Brahimaj,1731715200.0,74.0,170.0,74.0,Switch,696038400.0,3.5,49.0,4.72,49.0,1.15,32.0,37.0,1.6,7,7,0,0,70.0,170.0,72.0,Orthodox,721958400.0,2.26,44.0,4.04,43.0,1.51,35.0,44.0,1.5,11,5,0,0,L
Bassil Hafez,Oban Elliott,1731715200.0,71.0,170.0,72.0,Orthodox,696816000.0,3.71,38.0,5.68,41.0,2.21,24.0,50.0,0.0,9,4,1,0,72.0,170.0,72.0,Orthodox,882489600.0,4.26,49.0,2.25,62.0,2.16,50.0,72.0,0.0,12,2,0,0,L
Veronica Hardy,Eduarda Moura,1731715200.0,64.0,125.0,64.0,Southpaw,815011200.0,3.12,45.0,3.48,49.0,0.93,41.0,55.0,0.3,9,5,1,0,66.0,125.0,66.0,Orthodox,762393600.0,2.6,49.0,2.45,53.0,4.37,35.0,100.0,0.4,11,1,0,0,L
Neil Magny,Carlos Prates,1731110400.0,75.0,170.0,80.0,Orthodox,554947200.0,3.43,46.0,2.48,51.0,2.12,38.0,53.0,0.2,29,14,0,0,73.0,170.0,78.0,Switch,745545600.0,4.39,57.0,4.6,48.0,0.44,100.0,91.0,0.0,21,6,0,0,L
Gerald Meerschaert,Reinier de Ridder,1731110400.0,73.0,185.0,77.0,Southpaw,566784000.0,3.1,45.0,3.45,53.0,2.01,35.0,42.0,1.5,37,18,0,0,76.0,185.0,78.0,Southpaw,652665600.0,3.28,57.0,2.69,38.0,6.89,46.0,100.0,2.0,19,2,0,0,L
