RedFighter,BlueFighter,Date,RedHeight,RedWeight,RedReach,RedStance,RedDOB,RedSLpM,RedStr. Acc.,RedSApM,RedStr. Def.,RedTD Avg.,RedTD Acc.,RedTD Def.,RedSub. Avg.,RedWins,RedLosses,RedDraws,RedNoContests,BlueHeight,BlueWeight,BlueReach,BlueStance,BlueDOB,BlueSLpM,BlueStr. Acc.,BlueSApM,BlueStr. Def.,BlueTD Avg.,BlueTD Acc.,BlueTD Def.,BlueSub. Avg.,BlueWins,BlueLosses,BlueDraws,BlueNoContests,Result
Johny Hendricks,Neil Magny,1483056000.0,69.0,185.0,69.0,Southpaw,432172800.0,3.49,45.0,3.99,53.0,3.83,46.0,63.0,0.3,18,8,0,0,75.0,170.0,80.0,Orthodox,554947200.0,3.43,46.0,2.48,51.0,2.12,38.0,53.0,0.2,29,14,0,0,L
Antonio Carlos Junior,Marvin Vettori,1483056000.0,74.0,185.0,79.0,Orthodox,637545600.0,1.95,42.0,2.14,52.0,3.42,39.0,53.0,0.8,11,5,0,1,72.0,185.0,74.0,Southpaw,748483200.0,4.56,45.0,4.24,56.0,1.66,45.0,69.0,0.5,19,7,1,0,W
Mike Pyle,Alex Garcia,1483056000.0,72.0,170.0,74.0,Orthodox,180230400.0,2.74,45.0,2.84,60.0,1.8,35.0,70.0,1.5,27,14,1,0,69.0,170.0,72.0,Orthodox,553219200.0,1.81,31.0,3.03,59.0,3.72,52.0,66.0,0.1,15,6,0,0,L
Brandon Thatch,Niko Price,1483056000.0,74.0,170.0,74.0,Switch,489888000.0,2.7,42.0,3.63,52.0,1.36,66.0,50.0,0.7,11,5,0,0,72.0,170.0,76.0,Orthodox,623030400.0,5.21,42.0,5.58,48.0,1.04,29.0,52.0,0.7,16,8,0,2,L
Alex Oliveira,Tim Means,1483056000.0,71.0,170.0,76.0,Orthodox,572400000.0,2.99,51.0,2.55,46.0,2.35,38.0,63.0,0.6,22,12,1,2,74.0,170.0,75.0,Orthodox,446083200.0,5.04,49.0,3.65,60.0,1.14,40.0,64.0,0.2,33,17,1,1,NC
Sage Northcutt,Mickey Gall,1481932800.0,72.0,170.0,71.0,Orthodox,825638400.0,3.58,52.0,1.96,58.0,1.81,34.0,41.0,0.6,11,2,0,0,74.0,170.0,74.0,Switch,696038400.0,3.5,49.0,4.72,49.0,1.15,32.0,37.0,1.6,7,7,0,0,L
Urijah Faber,Brad Pickett,1481932800.0,66.0,135.0,67.0,Orthodox,295488000.0,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8,35,11,0,0,66.0,135.0,68.0,Orthodox,275443200.0,3.02,31.0,4.63,55.0,2.47,44.0,58.0,0.4,25,14,0,0,W
Alan Jouban,Mike Perry,1481932800.0,72.0,170.0,73.0,Southpaw,375494400.0,5.67,50.0,3.77,60.0,0.51,44.0,58.0,0.3,17,7,0,0,70.0,170.0,71.0,Orthodox,684892800.0,4.32,47.0,5.16,52.0,0.81,40.0,78.0,0.2,14,8,0,0,W
Henrique da Silva,Paul Craig,1481932800.0,75.0,205.0,76.0,Orthodox,620611200.0,3.89,60.0,5.28,40.0,0.25,14.0,22.0,0.2,14,5,0,0,75.0,185.0,76.0,Orthodox,564969600.0,2.52,44.0,3.03,43.0,1.52,20.0,37.0,1.4,17,9,1,0,L
Cole Miller,Mizuto Hirota,1481932800.0,73.0,145.0,73.0,Orthodox,451785600.0,3.0,33.0,3.88,59.0,0.6,36.0,38.0,1.8,21,11,0,1,67.0,155.0,67.0,Orthodox,357868800.0,3.36,40.0,3.5,54.0,1.36,50.0,58.0,0.1,18,10,2,0,L
Bryan Barberena,Colby Covington,1481932800.0,72.0,185.0,72.0,Southpaw,610156800.0,5.35,48.0,4.59,44.0,0.13,22.0,50.0,0.3,18,12,0,0,71.0,170.0,72.0,Orthodox,572486400.0,3.81,38.0,3.09,54.0,3.64,42.0,68.0,0.2,17,5,0,0,L
James Moontasri,Alex Morono,1481932800.0,70.0,170.0,71.0,Switch,576633600.0,2.39,48.0,3.86,40.0,0.0,0.0,79.0,0.2,9,5,0,0,71.0,170.0,72.0,Orthodox,650764800.0,4.96,40.0,4.56,57.0,0.34,25.0,47.0,0.3,24,11,0,1,L
Josh Emmett,Scott Holtzman,1481932800.0,66.0,145.0,70.0,Orthodox,478742400.0,4.04,36.0,4.61,61.0,0.91,37.0,46.0,0.1,19,4,0,0,69.0,155.0,69.0,Orthodox,433728000.0,4.32,47.0,3.66,55.0,1.88,56.0,67.0,0.2,14,6,0,0,W
Leslie Smith,Irene Aldana,1481932800.0,69.0,135.0,66.0,Orthodox,398390400.0,7.56,40.0,8.41,51.0,0.0,0.0,62.0,0.0,10,7,1,0,69.0,135.0,68.0,Orthodox,575337600.0,5.19,39.0,6.64,56.0,0.15,50.0,77.0,0.2,15,8,0,0,W
Eddie Wineland,Takeya Mizugaki,1481932800.0,67.0,135.0,69.0,Orthodox,457056000.0,3.4,29.0,3.76,68.0,0.34,33.0,86.0,0.1,24,16,1,0,67.0,135.0,69.0,Orthodox,440380800.0,3.37,37.0,3.27,57.0,1.46,57.0,70.0,0.1,21,11,2,0,W
Hector Sandoval,Fredy Serrano,1481932800.0,62.0,125.0,64.0,Orthodox,522115200.0,3.31,52.0,2.33,65.0,3.49,25.0,71.0,1.4,14,4,0,0,63.0,125.0,65.0,Orthodox,306806400.0,1.58,26.0,1.89,61.0,2.84,25.0,84.0,0.0,3,2,0,0,W
Bojan Velickovic,Sultan Aliev,1481932800.0,72.0,170.0,76.0,Southpaw,598406400.0,2.18,34.0,2.31,57.0,0.67,25.0,55.0,0.5,15,6,1,0,71.0,170.0,74.0,Orthodox,464227200.0,1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0,15,3,0,0,L
Max Holloway,Anthony Pettis,1481328000.0,71.0,145.0,69.0,Orthodox,691804800.0,7.16,47.0,4.76,59.0,0.25,53.0,83.0,0.3,26,8,0,0,70.0,155.0,72.0,Orthodox,538704000.0,3.05,47.0,3.44,54.0,0.61,50.0,60.0,1.1,24,10,0,0,W
Donald Cerrone,Matt Brown,1481328000.0,73.0,155.0,73.0,Orthodox,417744000.0,4.41,46.0,4.48,53.0,1.16,33.0,73.0,1.2,36,17,0,2,72.0,170.0,75.0,Orthodox,347932800.0,3.76,55.0,2.92,55.0,1.68,46.0,63.0,1.3,26,19,0,0,W
Cub Swanson,Dooho Choi,1481328000.0,68.0,145.0,70.0,Orthodox,436579200.0,4.79,51.0,4.0,59.0,1.01,50.0,63.0,0.4,30,14,0,0,70.0,145.0,70.0,Orthodox,671241600.0,4.67,56.0,4.02,56.0,1.43,53.0,47.0,0.6,16,4,1,0,W
Tim Kennedy,Kelvin Gastelum,1481328000.0,71.0,185.0,74.0,Orthodox,304992000.0,2.78,47.0,1.84,62.0,2.58,35.0,70.0,0.7,18,6,0,0,69.0,170.0,71.0,Southpaw,688262400.0,3.74,42.0,3.48,57.0,1.1,34.0,59.0,0.1,19,9,0,1,L
Jordan Mein,Emil Meek,1481328000.0,72.0,170.0,73.0,Orthodox,623980800.0,3.35,44.0,2.55,69.0,1.56,58.0,66.0,0.2,31,12,0,0,71.0,170.0,74.0,Switch,588038400.0,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0,9,5,1,1,L
Nikita Krylov,Misha Cirkunov,1481328000.0,75.0,205.0,77.0,Orthodox,699926400.0,4.38,55.0,2.47,44.0,2.29,38.0,53.0,1.4,30,9,0,0,75.0,205.0,77.0,Orthodox,541382400.0,3.86,51.0,3.06,57.0,4.15,39.0,76.0,1.7,15,9,0,0,L
Olivier Aubin-Mercier,Drew Dober,1481328000.0,69.0,155.0,70.0,Southpaw,604195200.0,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5,11,5,0,0,68.0,155.0,70.0,Southpaw,593222400.0,4.39,40.0,4.25,51.0,0.67,17.0,56.0,0.1,27,14,0,1,W
Valerie Letourneau,Viviane Pereira,1481328000.0,67.0,115.0,68.0,Orthodox,420422400.0,4.51,37.0,5.4,58.0,0.77,45.0,66.0,0.3,8,6,0,0,61.0,115.0,63.0,Orthodox,746496000.0,2.7,30.0,4.48,58.0,0.25,100.0,28.0,0.2,13,2,0,0,L
Mitch Gagnon,Matthew Lopez,1481328000.0,65.0,135.0,65.0,Southpaw,466214400.0,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9,12,5,0,0,67.0,135.0,69.0,Southpaw,538185600.0,3.13,50.0,3.73,55.0,3.32,60.0,71.0,1.3,10,4,0,0,L
John Makdessi,Lando Vannata,1481328000.0,68.0,155.0,68.0,Orthodox,483926400.0,5.52,49.0,4.15,68.0,0.0,0.0,86.0,0.0,18,9,0,0,69.0,155.0,71.0,Orthodox,700531200.0,4.52,45.0,4.76,55.0,1.09,37.0,69.0,0.3,12,7,2,0,L
Jason Saggo,Rustam Khabilov,1481328000.0,71.0,155.0,71.0,Orthodox,501552000.0,2.5,39.0,2.94,52.0,2.33,40.0,23.0,0.0,12,4,0,0,68.0,155.0,73.0,Orthodox,531446400.0,1.98,34.0,2.16,65.0,3.95,41.0,61.0,0.1,24,4,0,0,L
Zach Makovsky,Dustin Ortiz,1481328000.0,64.0,125.0,64.0,Southpaw,419558400.0,1.94,43.0,2.24,62.0,3.71,30.0,56.0,0.3,20,8,0,0,65.0,125.0,65.0,Orthodox,599011200.0,2.94,44.0,2.17,56.0,3.01,36.0,52.0,0.1,19,8,0,0,L
Francis Ngannou,Anthony Hamilton,1481241600.0,76.0,250.0,83.0,Orthodox,526262400.0,2.33,41.0,2.16,41.0,0.76,62.0,71.0,0.3,17,3,0,0,77.0,260.0,76.0,Orthodox,324518400.0,3.91,65.0,3.02,45.0,2.62,42.0,78.0,0.0,15,9,0,0,W
Corey Anderson,Sean O'Connell,1481241600.0,75.0,205.0,79.0,Orthodox,622425600.0,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0,14,5,0,0,73.0,205.0,74.0,Orthodox,431308800.0,5.46,48.0,6.77,45.0,0.0,0.0,30.0,0.5,17,9,0,0,W
Gian Villante,Saparbeg Safarov,1481241600.0,75.0,230.0,76.0,Orthodox,493171200.0,4.38,44.0,5.47,55.0,0.45,23.0,83.0,0.0,17,14,0,0,73.0,185.0,78.0,Orthodox,529632000.0,4.03,48.0,2.96,47.0,2.52,41.0,33.0,0.0,9,3,0,0,W
Justine Kish,Ashley Yoder,1481241600.0,65.0,125.0,64.0,Orthodox,576892800.0,4.51,48.0,4.59,57.0,0.87,33.0,50.0,0.1,7,4,0,0,67.0,115.0,69.0,Southpaw,561686400.0,3.42,39.0,4.13,47.0,1.09,27.0,66.0,0.6,8,9,0,0,W
Randy Brown,Brian Camozzi,1481241600.0,75.0,170.0,78.0,Orthodox,647395200.0,4.35,47.0,3.24,54.0,0.81,39.0,73.0,0.6,19,6,0,0,74.0,170.0,78.0,Orthodox,677721600.0,3.15,26.0,6.39,54.0,0.0,0.0,0.0,0.7,7,5,0,0,W
Andrew Sanchez,Trevor Smith,1481241600.0,73.0,185.0,74.0,Orthodox,576460800.0,4.3,43.0,5.1,50.0,2.55,36.0,100.0,0.0,13,7,0,0,75.0,185.0,75.0,Orthodox,347500800.0,3.29,55.0,3.31,51.0,1.7,32.0,60.0,0.7,15,10,0,0,W
Frankie Perez,Marc Diakiese,1481241600.0,71.0,155.0,73.0,Orthodox,610848000.0,1.64,41.0,2.17,54.0,1.75,41.0,50.0,0.3,10,4,0,0,70.0,155.0,73.0,Orthodox,732240000.0,2.54,40.0,2.64,52.0,3.29,43.0,66.0,0.0,17,7,0,0,L
Keith Berish,Ryan Janes,1481241600.0,72.0,205.0,nan,Orthodox,500774400.0,3.58,36.0,4.81,62.0,1.76,40.0,0.0,0.0,5,1,0,1,75.0,185.0,76.0,Orthodox,367286400.0,7.69,48.0,5.53,59.0,0.35,100.0,58.0,0.0,10,3,0,0,L
Juliana Lima,JJ Aldrich,1481241600.0,65.0,115.0,65.0,Orthodox,384998400.0,1.94,44.0,2.11,55.0,1.72,31.0,70.0,0.0,9,5,0,0,65.0,125.0,67.0,Southpaw,717724800.0,3.88,46.0,4.38,60.0,0.66,23.0,66.0,0.0,13,7,0,0,W
Derrick Lewis,Shamil Abdurakhimov,1481241600.0,75.0,260.0,79.0,Orthodox,476582400.0,2.48,50.0,2.48,40.0,0.57,26.0,52.0,0.0,28,12,0,1,75.0,235.0,76.0,Orthodox,368236800.0,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,20,8,0,0,W
Demetrious Johnson,Tim Elliott,1480723200.0,63.0,125.0,66.0,Orthodox,524275200.0,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,27,3,1,0,67.0,125.0,66.0,Southpaw,535766400.0,3.39,44.0,2.66,56.0,3.73,47.0,59.0,1.0,21,13,1,0,W
Joseph Benavidez,Henry Cejudo,1480723200.0,64.0,125.0,65.0,Southpaw,460080000.0,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6,28,8,0,0,64.0,135.0,64.0,Orthodox,539827200.0,3.77,46.0,3.29,60.0,1.99,32.0,75.0,0.2,16,4,0,0,W
Jake Ellenberger,Jorge Masvidal,1480723200.0,69.0,170.0,71.0,Orthodox,480816000.0,2.47,39.0,2.83,60.0,2.04,47.0,86.0,0.4,31,15,0,0,71.0,170.0,74.0,Orthodox,469065600.0,4.05,47.0,3.05,64.0,1.38,59.0,72.0,0.3,35,17,0,0,L
Ion Cutelaba,Jared Cannonier,1480723200.0,73.0,205.0,75.0,Southpaw,755827200.0,4.29,43.0,3.34,46.0,4.04,52.0,75.0,0.0,18,10,1,1,71.0,185.0,77.0,Switch,448243200.0,4.49,50.0,4.39,56.0,0.42,46.0,62.0,0.0,17,8,0,0,L
Sara McMann,Alexis Davis,1480723200.0,66.0,135.0,66.0,Orthodox,338601600.0,2.26,46.0,1.92,47.0,4.38,65.0,50.0,0.5,13,6,0,0,66.0,135.0,68.0,Orthodox,465696000.0,4.63,49.0,4.45,54.0,0.95,44.0,34.0,0.7,21,11,0,0,W
Brandon Moreno,Ryan Benoit,1480723200.0,67.0,125.0,70.0,Orthodox,755222400.0,3.99,43.0,3.53,60.0,1.59,46.0,64.0,0.4,22,8,2,0,65.0,125.0,68.0,Orthodox,620006400.0,2.88,39.0,3.65,58.0,0.28,22.0,72.0,0.4,10,8,0,0,W
Gray Maynard,Ryan Hall,1480723200.0,69.0,155.0,70.0,Orthodox,295056000.0,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7,13,7,1,1,70.0,145.0,70.0,Southpaw,477878400.0,2.38,50.0,1.33,65.0,0.22,9.0,0.0,2.2,9,2,0,0,L
Rob Font,Matt Schnell,1480723200.0,68.0,135.0,71.0,Orthodox,551577600.0,5.44,45.0,3.58,57.0,0.84,34.0,44.0,0.3,21,8,0,0,68.0,125.0,70.0,Orthodox,632361600.0,4.39,39.0,4.64,55.0,0.56,40.0,50.0,1.0,16,9,0,1,W
Dong Hyun Ma,Brendan O'Reilly,1480723200.0,71.0,155.0,70.0,Orthodox,589766400.0,2.84,41.0,4.1,54.0,1.27,53.0,33.0,0.0,16,11,3,0,67.0,170.0,69.0,Orthodox,551491200.0,1.9,47.0,2.77,39.0,2.22,43.0,36.0,0.6,6,3,0,1,W
Kailin Curran,Jamie Moyle,1480723200.0,64.0,115.0,65.0,Orthodox,671328000.0,3.89,43.0,4.75,53.0,2.0,57.0,61.0,0.6,4,5,0,0,61.0,115.0,65.0,Orthodox,606096000.0,4.51,51.0,4.0,65.0,1.0,21.0,50.0,0.0,4,3,0,0,L
Elvis Mutapcic,Anthony Smith,1480723200.0,72.0,185.0,72.0,Orthodox,522115200.0,3.41,40.0,4.27,38.0,0.0,0.0,81.0,0.0,15,6,1,0,76.0,205.0,76.0,Orthodox,585878400.0,3.2,49.0,4.88,45.0,0.44,23.0,50.0,0.6,38,21,0,0,L
Josh Stansbury,Devin Clark,1480723200.0,74.0,205.0,74.0,Orthodox,469670400.0,3.22,54.0,3.54,54.0,0.0,0.0,87.0,1.0,4,8,0,0,72.0,205.0,75.0,Orthodox,639878400.0,3.03,54.0,3.24,44.0,2.17,32.0,58.0,0.1,14,9,0,0,L
Robert Whittaker,Derek Brunson,1480118400.0,72.0,185.0,73.0,Orthodox,661651200.0,4.54,43.0,3.41,59.0,0.8,38.0,81.0,0.0,27,8,0,0,73.0,185.0,77.0,Southpaw,442022400.0,3.51,47.0,3.05,51.0,3.14,33.0,85.0,0.6,23,9,0,0,W
Jake Matthews,Andrew Holbrook,1480118400.0,71.0,170.0,73.0,Orthodox,777254400.0,3.38,44.0,2.54,61.0,1.56,41.0,64.0,0.6,20,7,0,0,71.0,155.0,70.0,Southpaw,508032000.0,2.2,49.0,3.0,54.0,0.85,18.0,10.0,2.1,12,3,0,0,L
Kyle Noke,Omari Akhmedov,1480118400.0,73.0,170.0,76.0,Southpaw,322185600.0,3.23,50.0,2.09,64.0,1.53,54.0,66.0,0.8,22,10,1,0,72.0,185.0,73.0,Orthodox,560995200.0,2.97,34.0,2.84,55.0,2.58,45.0,65.0,0.2,21,6,1,0,L
Yusuke Kasuya,Alexander Volkanovski,1480118400.0,67.0,155.0,nan,Southpaw,627177600.0,2.17,44.0,4.34,48.0,1.36,33.0,0.0,0.0,9,3,0,0,66.0,145.0,71.0,Orthodox,591494400.0,6.16,56.0,3.44,58.0,1.78,37.0,70.0,0.2,26,4,0,0,L
Khalil Rountree Jr.,Tyson Pedro,1480118400.0,73.0,205.0,76.0,Southpaw,635990400.0,3.73,38.0,4.51,48.0,0.0,0.0,58.0,0.1,14,6,0,1,75.0,205.0,79.0,Orthodox,685065600.0,2.9,59.0,2.39,56.0,0.76,30.0,50.0,0.8,10,5,0,0,L
Daniel Kelly,Chris Camozzi,1480118400.0,72.0,185.0,70.0,Southpaw,247104000.0,3.62,38.0,4.64,61.0,1.86,34.0,78.0,0.3,13,4,0,0,74.0,185.0,75.0,Orthodox,532828800.0,3.57,44.0,2.96,56.0,0.27,19.0,57.0,0.5,24,13,0,0,W
Damien Brown,Jon Tuck,1480118400.0,70.0,155.0,68.0,Orthodox,472780800.0,3.66,38.0,4.86,50.0,0.68,27.0,53.0,0.7,17,12,0,0,71.0,155.0,73.0,Orthodox,462499200.0,3.0,40.0,3.74,60.0,0.42,33.0,50.0,1.0,10,5,0,0,W
Richard Walsh,Jonathan Meunier,1480118400.0,72.0,170.0,73.0,Orthodox,596937600.0,3.84,46.0,2.72,58.0,1.55,40.0,66.0,0.2,9,5,0,0,75.0,170.0,nan,Switch,555033600.0,3.47,50.0,1.43,69.0,0.58,33.0,58.0,0.0,8,1,0,0,L
Ben Nguyen,Geane Herrera,1480118400.0,65.0,125.0,65.0,Switch,586569600.0,3.51,40.0,3.01,59.0,0.25,33.0,63.0,1.0,16,8,0,0,65.0,125.0,66.0,Orthodox,643766400.0,1.51,31.0,5.07,52.0,0.83,37.0,38.0,0.6,9,3,0,0,W
Dan Hooker,Jason Knight,1480118400.0,72.0,155.0,75.0,Switch,634867200.0,5.03,48.0,4.72,51.0,0.73,34.0,78.0,0.3,24,12,0,0,70.0,145.0,71.0,Orthodox,711072000.0,2.95,33.0,3.02,51.0,1.31,31.0,47.0,1.7,20,5,0,0,L
Yao Zhikui,Jenel Lausa,1480118400.0,65.0,125.0,64.0,Orthodox,665884800.0,1.44,21.0,2.82,48.0,0.66,16.0,58.0,0.0,2,4,0,0,65.0,125.0,68.0,Orthodox,586396800.0,1.44,42.0,3.53,53.0,0.55,66.0,51.0,0.8,7,5,0,0,L
Ryan Bader,Rogerio Nogueira,1479513600.0,74.0,205.0,74.0,Orthodox,423792000.0,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,23,5,0,0,74.0,205.0,75.0,Southpaw,202521600.0,2.43,35.0,2.34,59.0,0.64,44.0,62.0,0.8,23,10,0,0,W
Thomas Almeida,Albert Morales,1479513600.0,67.0,145.0,70.0,Southpaw,680918400.0,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,22,5,0,0,69.0,135.0,72.0,Orthodox,675129600.0,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,7,4,1,0,W
Claudia Gadelha,Cortney Casey,1479513600.0,64.0,115.0,63.0,Orthodox,597456000.0,3.31,41.0,4.57,57.0,3.03,42.0,58.0,0.7,18,5,0,0,67.0,125.0,67.0,Orthodox,547171200.0,4.29,39.0,4.0,55.0,0.39,31.0,39.0,0.5,10,10,0,0,W
Thales Leites,Krzysztof Jotko,1479513600.0,73.0,185.0,78.0,Orthodox,368582400.0,2.13,40.0,2.99,52.0,2.1,27.0,30.0,1.1,28,9,0,0,73.0,185.0,77.0,Southpaw,619488000.0,2.98,42.0,2.23,57.0,1.33,39.0,82.0,0.1,24,6,0,0,L
Warlley Alves,Kamaru Usman,1479513600.0,71.0,185.0,72.0,Orthodox,662947200.0,3.04,48.0,3.95,50.0,1.22,50.0,62.0,0.8,15,8,0,0,72.0,170.0,76.0,Switch,547689600.0,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,20,4,0,0,L
Sergio Moraes,Zak Ottow,1479513600.0,72.0,170.0,72.0,Orthodox,396230400.0,2.42,42.0,3.73,59.0,1.2,38.0,75.0,0.4,14,6,1,0,71.0,170.0,72.0,Orthodox,535593600.0,2.63,36.0,2.73,58.0,0.97,29.0,57.0,0.4,17,7,0,0,W
Cezar Ferreira,Jack Hermansson,1479513600.0,73.0,185.0,78.0,Southpaw,477273600.0,1.9,42.0,2.44,53.0,2.69,53.0,84.0,0.5,13,8,0,0,73.0,185.0,77.0,Orthodox,581904000.0,5.09,44.0,3.69,56.0,1.53,30.0,80.0,0.4,24,8,0,0,W
Marcos Rogerio de Lima,Gadzhimurad Antigulov,1479513600.0,73.0,253.0,75.0,Orthodox,488505600.0,3.7,57.0,2.9,51.0,1.4,45.0,59.0,0.5,22,10,1,0,71.0,205.0,70.0,Orthodox,539827200.0,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4,20,8,0,0,L
Johnny Eduardo,Manvel Gamburyan,1479513600.0,67.0,135.0,71.0,Orthodox,270950400.0,2.95,39.0,3.22,63.0,0.22,20.0,58.0,0.4,28,13,0,0,65.0,135.0,67.0,Orthodox,358128000.0,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7,15,10,0,1,W
Luis Henrique,Christian Colombo,1479513600.0,74.0,243.0,74.0,Orthodox,745891200.0,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,10,5,0,1,77.0,265.0,nan,Orthodox,331257600.0,2.76,44.0,4.02,42.0,0.0,0.0,33.0,0.0,8,3,1,0,W
Pedro Munhoz,Justin Scoggins,1479513600.0,66.0,135.0,65.0,Orthodox,526435200.0,5.38,41.0,6.29,55.0,0.48,16.0,82.0,0.5,20,10,0,2,67.0,125.0,66.0,Southpaw,704764800.0,3.56,51.0,2.16,55.0,3.42,63.0,82.0,0.5,11,5,0,0,W
Francimar Barroso,Darren Stewart,1479513600.0,73.0,205.0,75.0,Orthodox,320544000.0,2.77,52.0,3.07,59.0,2.22,24.0,83.0,0.0,19,7,0,1,72.0,205.0,74.0,Orthodox,662515200.0,3.05,45.0,3.29,48.0,1.75,45.0,67.0,0.1,12,8,0,2,NC
Gegard Mousasi,Uriah Hall,1479513600.0,74.0,185.0,76.0,Orthodox,491702400.0,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,42,6,2,0,72.0,185.0,79.0,Orthodox,460080000.0,3.23,48.0,3.85,54.0,0.54,38.0,64.0,0.1,18,11,0,0,W
Ross Pearson,Stevie Ray,1479513600.0,68.0,155.0,69.0,Orthodox,465004800.0,3.68,40.0,4.09,62.0,0.74,35.0,75.0,0.0,20,16,0,1,70.0,155.0,70.0,Southpaw,638323200.0,3.73,44.0,2.93,54.0,0.75,46.0,55.0,0.6,23,9,0,0,L
Artem Lobov,Teruto Ishihara,1479513600.0,69.0,145.0,65.0,Southpaw,524102400.0,3.52,41.0,4.82,50.0,0.39,25.0,52.0,0.0,13,15,1,1,67.0,135.0,69.0,Southpaw,680227200.0,3.26,44.0,3.63,53.0,0.5,16.0,30.0,0.0,10,7,2,0,W
Magnus Cedenblad,Jack Marshman,1479513600.0,77.0,185.0,79.0,Orthodox,387244800.0,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,14,5,0,0,72.0,185.0,73.0,Orthodox,630028800.0,2.74,25.0,4.19,56.0,0.0,0.0,20.0,0.0,23,10,0,0,L
Kyoji Horiguchi,Ali Bagautinov,1479513600.0,65.0,125.0,66.0,Orthodox,655689600.0,3.6,45.0,2.45,62.0,2.0,44.0,55.0,0.0,19,2,0,0,64.0,125.0,65.0,Orthodox,487209600.0,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,15,6,0,0,W
Kevin Lee,Magomed Mustafaev,1479513600.0,69.0,170.0,77.0,Orthodox,715564800.0,3.88,42.0,3.6,50.0,3.18,43.0,75.0,0.8,18,8,0,0,68.0,155.0,71.0,Orthodox,586483200.0,2.59,58.0,2.68,41.0,3.31,50.0,23.0,0.4,14,4,0,0,W
Anna Elmose,Amanda Cooper,1479513600.0,63.0,115.0,nan,Orthodox,465868800.0,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0,3,2,0,0,63.0,115.0,64.0,Switch,688089600.0,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,3,5,0,0,L
Justin Ledet,Mark Godbeer,1479513600.0,76.0,205.0,80.0,Orthodox,591408000.0,3.35,39.0,4.82,49.0,0.23,50.0,42.0,0.2,9,4,0,1,76.0,240.0,77.0,Orthodox,438307200.0,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0,13,4,0,0,W
Zak Cummings,Alexander Yakovlev,1479513600.0,72.0,205.0,75.0,Southpaw,460252800.0,2.96,35.0,2.91,55.0,0.62,28.0,66.0,0.6,25,7,0,0,75.0,155.0,74.0,Southpaw,458956800.0,1.74,47.0,2.41,58.0,1.66,35.0,72.0,0.1,24,10,1,0,W
Marion Reneau,Milana Dudieva,1479513600.0,66.0,135.0,68.0,Orthodox,235612800.0,3.2,41.0,3.52,59.0,0.62,63.0,50.0,0.8,9,8,1,0,63.0,135.0,nan,Orthodox,618192000.0,0.87,31.0,3.43,58.0,2.34,45.0,0.0,0.0,11,6,0,0,W
Brett Johns,Kwan Ho Kwak,1479513600.0,67.0,135.0,71.0,Orthodox,698630400.0,2.86,49.0,3.84,53.0,4.92,49.0,58.0,1.0,17,2,0,0,65.0,135.0,nan,Switch,614131200.0,3.29,41.0,3.45,47.0,0.78,100.0,26.0,0.0,9,2,0,0,W
Charlie Ward,Abdul Razak Alhassan,1479513600.0,71.0,170.0,nan,Orthodox,345859200.0,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0,3,3,0,0,70.0,185.0,73.0,Orthodox,492566400.0,3.64,49.0,4.01,54.0,0.84,33.0,51.0,0.2,12,7,0,1,L
Eddie Alvarez,Conor McGregor,1478908800.0,69.0,155.0,69.0,Orthodox,442627200.0,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,29,6,0,1,69.0,155.0,74.0,Southpaw,584841600.0,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1,22,6,0,0,L
Tyron Woodley,Stephen Thompson,1478908800.0,69.0,170.0,74.0,Orthodox,386985600.0,2.36,48.0,2.76,54.0,1.06,40.0,87.0,0.4,19,7,1,0,72.0,170.0,75.0,Orthodox,413769600.0,4.11,46.0,3.02,55.0,0.25,41.0,63.0,0.0,17,8,1,0,D
