Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Rafael Alves,68.0,155.0,68.0,Orthodox,658540800.0,1.85,48.0,3.3,58.0,0.29,25.0,44.0,1.5,20,12,0,0
Sam Alvey,74.0,185.0,75.0,Southpaw,515721600.0,3.28,44.0,3.63,52.0,0.06,14.0,82.0,0.1,33,18,1,1
Adlan Amagov,74.0,170.0,76.0,Orthodox,531014400.0,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0,14,2,1,0
Alen Amedovski,70.0,185.0,74.0,Orthodox,576288000.0,0.99,30.0,3.85,46.0,0.0,0.0,0.0,0.0,8,4,0,0
Hyder Amil,69.0,145.0,70.0,Switch,643852800.0,6.31,57.0,2.23,61.0,0.64,33.0,78.0,1.9,10,0,0,0
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,594950400.0,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,17,9,0,0
Jaqueline Amorim,63.0,115.0,68.0,Orthodox,803952000.0,3.05,52.0,1.72,63.0,1.78,28.0,0.0,5.3,9,1,0,0
Eryk Anders,73.0,185.0,75.0,Southpaw,545961600.0,3.54,48.0,4.05,50.0,1.71,24.0,80.0,0.1,17,8,0,1
Matt Andersen,74.0,230.0,,Southpaw,44323200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,1,0
Andy Anderson,66.0,240.0,,,143164800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
Corey Anderson,75.0,205.0,79.0,Orthodox,622425600.0,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0,14,5,0,0
Megan Anderson,72.0,145.0,72.0,Orthodox,634694400.0,1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5,11,5,0,0
Alex Andrade,71.0,200.0,,Orthodox,137721600.0,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,10,5,0,0
Jessica Andrade,61.0,125.0,62.0,Orthodox,685756800.0,6.44,50.0,5.51,54.0,2.23,54.0,72.0,0.3,26,13,0,0
Viscardi Andrade,71.0,170.0,75.0,Orthodox,447552000.0,3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3,19,6,0,0
Dylan Andrews,73.0,185.0,74.0,Switch,311472000.0,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,18,7,0,1
Reese Andy,72.0,205.0,,Orthodox,102384000.0,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0,7,3,0,0
Collin Anglin,69.0,145.0,71.0,Orthodox,730166400.0,4.59,48.0,5.54,51.0,2.28,66.0,100.0,0.0,8,3,0,0
Chad Anheliger,66.0,135.0,64.0,Orthodox,533779200.0,3.11,46.0,2.76,53.0,0.68,30.0,38.0,0.5,13,8,0,0
Yoji Anjo,71.0,205.0,,Orthodox,-87264000.0,0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0,0,5,1,0
Magomed Ankalaev,75.0,205.0,75.0,Orthodox,707443200.0,3.64,52.0,2.37,58.0,0.92,31.0,86.0,0.0,20,1,1,1
Gadzhimurad Antigulov,71.0,205.0,70.0,Orthodox,539827200.0,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4,20,8,0,0
Shinsho Anzai,67.0,170.0,70.0,Orthodox,502243200.0,3.23,58.0,3.75,45.0,1.83,16.0,75.0,0.0,10,3,0,0
Aoriqileng,67.0,135.0,69.0,Orthodox,740966400.0,4.65,49.0,5.46,48.0,1.2,46.0,58.0,0.0,25,12,0,1
Romie Aram,70.0,170.0,,Orthodox,249868800.0,1.8,35.0,2.83,50.0,2.5,62.0,83.0,0.0,7,1,0,0
Felipe Arantes,68.0,135.0,73.0,Orthodox,571363200.0,2.37,45.0,2.66,64.0,0.93,47.0,41.0,0.7,18,10,1,2
Igor Araujo,73.0,170.0,77.0,Orthodox,344908800.0,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6,25,9,0,1
Viviane Araujo,64.0,125.0,68.0,Orthodox,532915200.0,4.04,47.0,4.87,56.0,1.86,43.0,80.0,0.7,13,6,0,0
Julio Arce,67.0,145.0,70.0,Southpaw,625449600.0,4.36,36.0,3.05,68.0,0.46,28.0,96.0,0.3,19,6,0,0
Alice Ardelean,63.0,115.0,62.0,Orthodox,703641600.0,4.97,45.0,4.97,52.0,1.0,40.0,100.0,0.0,9,7,0,0
Dan Argueta,67.0,135.0,68.0,Southpaw,745200000.0,2.48,43.0,3.44,50.0,4.36,35.0,55.0,1.4,9,3,0,2
Andrei Arlovski,75.0,240.0,77.0,Orthodox,286934400.0,3.82,45.0,3.22,57.0,0.37,35.0,76.0,0.2,34,24,0,2
Garrett Armfield,66.0,135.0,70.0,Orthodox,844819200.0,5.35,53.0,3.64,56.0,1.1,50.0,64.0,0.6,10,5,0,0
Austin Arnett,72.0,145.0,72.0,Orthodox,688089600.0,4.52,41.0,6.38,62.0,0.44,18.0,57.0,0.2,16,6,0,0
Akbarh Arreola,70.0,155.0,71.0,Southpaw,411350400.0,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4,23,11,1,0
Matt Arroyo,70.0,170.0,72.0,Orthodox,399686400.0,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,3,3,0,0
Antonio Arroyo,75.0,185.0,73.0,Orthodox,615254400.0,2.82,66.0,2.02,50.0,1.14,41.0,41.0,0.2,9,5,0,0
