iter	Logloss
142	0.3892601521
143	0.3887527335
144	0.387933747
145	0.3872244767
146	0.3869357179
147	0.3868730745
148	0.3862438083
149	0.3857163995
150	0.3850912974
151	0.3845952669
152	0.3839222088
153	0.3834335165
154	0.3829404592
155	0.3822749002
156	0.3815258222
157	0.3811760252
158	0.3810300548
159	0.3805586088
160	0.3802839964
161	0.3799366151
162	0.3792596729
163	0.3787220568
164	0.3782921916
165	0.3778099049
166	0.3772076149
167	0.3767855671
168	0.3763657523
169	0.3763011493
170	0.3758943658
171	0.3754889512
172	0.3749141083
173	0.3746275569
174	0.3739350425
175	0.3734644907
176	0.3730165203
177	0.3725943583
178	0.372131573
179	0.3718368504
180	0.3716441934
181	0.3712743219
182	0.3708486249
183	0.3702497524
184	0.3696900556
185	0.3694385773
186	0.3693859326
187	0.3687859122
188	0.3684553679
189	0.3679810854
190	0.367735241
191	0.3673480504
192	0.3668157205
193	0.3663999266
194	0.3661496846
195	0.3658900533
196	0.3655018992
197	0.3650950697
198	0.3647979767
199	0.3645190144
200	0.3642155232
201	0.3640682022
202	0.3637321825
203	0.3633588438
204	0.3630050021
205	0.362601552
206	0.3621245265
207	0.3618627182
208	0.3614252737
209	0.360721926
210	0.3606114924
211	0.3603080156
212	0.3596603273
213	0.3592586112
214	0.3589820454
215	0.3587879995
216	0.3585596409
217	0.3583260784
218	0.3581169875
219	0.3575518306
220	0.3571927762
221	0.3567895789
222	0.3565606525
223	0.3561929315
224	0.355894348
225	0.3556929961
226	0.3554857287
227	0.3552219884
228	0.3548328118
229	0.3543007688
230	0.3537688325
231	0.3535132828
232	0.3531998412
233	0.3529633715
234	0.3525968082
235	0.3521510796
236	0.3517353063
237	0.3514104922
238	0.3511528458
239	0.3505926805
240	0.3501813124
241	0.3499828584
242	0.3495927846
243	0.3493256584
244	0.3491745821
245	0.34890516
246	0.3487318341
247	0.348549081
248	0.3483115502
249	0.3480712817
250	0.348007118
251	0.3477810052
252	0.3475460569
253	0.3472330078
254	0.3468436211
255	0.346533881
256	0.3463617836
257	0.3459335315
258	0.3457680498
259	0.3457298726
260	0.3453342229
261	0.3449879739
262	0.3446294947
263	0.3442761162
264	0.3439870429
265	0.3435635167
266	0.34317801
267	0.3427902628
268	0.3426019118
269	0.3424545383
270	0.3421009343
271	0.3419519539
272	0.3416715468
273	0.3414159832
274	0.3411492733
275	0.340858238
276	0.3406391581
277	0.3404260749
278	0.3401984609
279	0.3398490258
280	0.3396633119
281	0.3394271801
282	0.3392339611
283	0.3390559915
284	0.338827464
285	0.3387769168
286	0.3384903795
287	0.3381967828
288	0.3380151138
289	0.3378751221
290	0.3376043965
291	0.3374487246
292	0.3372247014
293	0.3370368978
294	0.336744662
295	0.3365430827
296	0.336235169
297	0.335987192
298	0.3357412918
299	0.3353819608
300	0.335056621
301	0.3347588822
302	0.3343853204
303	0.334374137
304	0.3341837996
305	0.3339578263
306	0.3337445992
307	0.3335339784
308	0.3333047912
309	0.3330725731
310	0.3328704185
311	0.3326147233
312	0.3324260683
313	0.3321424591
314	0.331828727
315	0.3316680023
316	0.3313417257
317	0.3311009206
318	0.3309151161
319	0.3308202166
320	0.3305335818
321	0.3303422491
322	0.3300894648
323	0.3297487029
324	0.3296015001
325	0.3293878821
326	0.329168086
327	0.328910222
328	0.3286225537
329	0.3283959441
330	0.3281819209
331	0.3280520994
332	0.3278939388
333	0.3276861825
334	0.3275309166
335	0.3273998001
336	0.3272211862
337	0.3271131309
338	0.3267234626
339	0.3265545675
340	0.326208874
341	0.3258628026
342	0.3256879533
343	0.3255814819
344	0.3255093861
345	0.3252849023
346	0.3250701403
347	0.3247579816
348	0.3244995065
349	0.3243364653
350	0.3240688656
351	0.3238905632
352	0.3237578568
353	0.3234925089
354	0.3232323938
355	0.323085951
356	0.3230310888
357	0.3227731861
358	0.3224736819
359	0.3223557586
360	0.3222221429
361	0.3220277852
362	0.3218493983
363	0.3216816651
364	0.3213520554
365	0.3211710454
366	0.3209761011
367	0.3208190282
368	0.3206766306
369	0.3204264219
370	0.320062572
371	0.3198583765
372	0.319680518
373	0.3193395211
374	0.3190222757
375	0.3188755849
376	0.318427896
377	0.3182870985
378	0.3181629323
379	0.3179061499
380	0.317465018
381	0.3171226165
382	0.3169240475
383	0.3167254105
384	0.3165028585
385	0.3163930626
386	0.3161459348
387	0.3159184883
388	0.3158424688
389	0.3156140094
390	0.3154661029
391	0.3153312746
392	0.315055493
393	0.3148282272
394	0.3146919389
395	0.3146575496
396	0.314390425
397	0.3143209848
398	0.313987485
399	0.3137455887
400	0.3136178357
401	0.3134735302
402	0.3132922821
403	0.31313828
404	0.3130074193
405	0.3128753112
406	0.3126678299
407	0.3125325238
408	0.3123861422
409	0.312089098
410	0.3119357259
411	0.3118285447
